Urban Center,Population,Area (2016),Population Density,Cost of Living Index (2016),Built-up areas per capita,Road Length per capita (2017),Pedestrian Streets per capita,Rapid Transit to Resident Ratio (RTR),Modal split (Passenger) - by trips - Car (2017),Modal split (Passenger) - by trips - Public Transport (2017),Traffic Index (2018),Average travel speed (2019),Percentage Access to Public Transport,Share of population with access to open public spaces (2020),Surface transport SOx Concentration,Surface transport NOx Concentration,Oxford Economics Global Cities Index (Rank),Oxford Economics Global Cities Index (Economics),Oxford Economics Global Cities Index (Human Capital),Oxford Economics Global Cities Index (Quality of Life),Oxford Economics Global Cities Index (Environment),Oxford Economics Global Cities Index (Governance)
Shenzhen,17619000.0,,13551.777,53.63,101.6987287658904,,,33.2359106283645,0.193,0.167,,0.0,0.211430540026177,0.2193936509782739,0.024233174285003,1.81536316655261,206.0,37.0,49.0,618.0,553.0,637.0
Xiamen,3707090.0,501.0,11812.89,,136.1126975061869,0.578436722914129,446.9357900431766,45.9172908534655,,,,,0.30472718970286,,,,354.0,198.0,200.0,581.0,619.0,637.0
Hong Kong,7450000.0,350.0,20793.34,76.51,44.8361162646877,0.3880303266134049,3747.273513627891,31.5969020837175,,0.48,141.7,30.30923736,0.567838180150109,0.9570674703535004,0.0607648591060629,4.47866527916279,76.0,89.0,56.0,151.0,583.0,299.0
Bengaluru,15386000.0,628.0,10299.921,26.65,114.2426427213738,1.030247560805952,30.21812570113574,2.20711740420388,0.25,0.35,248.1,19.49031552,0.0415808064440947,0.3459357320549058,0.476391292958975,2.75146108675607,411.0,171.0,179.0,847.0,727.0,380.0
Chennai,12395000.0,940.0,10503.32,25.92,105.8772687986171,0.6565953118948659,333.1689617127497,10.3415154749199,0.3,0.39,190.1,21.03310831,0.138758145173585,,0.0725995457156669,0.933181628311231,472.0,244.0,189.0,879.0,763.0,380.0
Delhi [New Delhi],32226000.0,2474.0,23234.553,28.43,75.1522924014107,0.8048542365318309,233.1749379495583,10.9827055124173,0.19,0.42,277.29,22.31756947,0.174580600448939,0.4358361545061303,0.0267571326517174,0.342603999813389,350.0,108.0,51.0,838.0,973.0,380.0
Kolkata,18502000.0,2817.0,17947.78,26.01,62.16949464293926,,10.86231051294135,6.40906372516446,,,320.16,,0.0863726199013564,0.2772384132148926,0.0136920616869067,0.584673290299094,528.0,166.0,392.0,884.0,919.0,380.0
Mumbai,24973000.0,1077.0,9925.131,29.35,41.52606296399222,,354.638505764219,9.53168229975032,0.15,0.45,276.07,18.02146288,0.063882935845908,0.3534636406053323,,,427.0,169.0,126.0,915.0,812.0,380.0
Jakarta,33756000.0,5009.0,20056.549,47.62,100.209122251738,0.3832052296640339,137.4368082556024,22.5627810066893,0.41,0.36,260.88,20.47815794,0.0539532246640238,0.2416639970869711,6.62269385240659,9.4659964260064,284.0,40.0,89.0,741.0,793.0,480.0
Tehran,14148000.0,1382.0,16623.396,40.18,127.335226423554,0.9734158377378226,570.0932308402223,19.386211368057,0.35,0.13,258.6,33.22501027,0.224289160830363,0.7385678083401409,,,443.0,306.0,80.0,745.0,773.0,928.0
Fukuoka,2286000.0,489.0,6744.793,,213.2601351351351,32.39518396788286,1497.134780556734,9.69835399898484,0.39,0.34,,22.89818725,0.179300616911259,,,,152.0,173.0,218.0,235.0,322.0,26.0
