Urban Center,Population,Area (2016),Population Density,Cost of Living Index (2016),Built-up areas per capita,Road Length per capita (2017),Pedestrian Streets per capita,Rapid Transit to Resident Ratio (RTR),Modal split (Passenger) - by trips - Car (2017),Modal split (Passenger) - by trips - Public Transport (2017),Traffic Index (2018),Average travel speed (2019),Percentage Access to Public Transport,Share of population with access to open public spaces (2020),Surface transport SOx Concentration,Surface transport NOx Concentration,Oxford Economics Global Cities Index (Rank),Oxford Economics Global Cities Index (Economics),Oxford Economics Global Cities Index (Human Capital),Oxford Economics Global Cities Index (Quality of Life),Oxford Economics Global Cities Index (Environment),Oxford Economics Global Cities Index (Governance)
Taichung,3033885.0,329.0,17113.8054423587,,161.7004370282082,3.099956994870583,,,0.46,0.34,,23.20699718,0.0695147529019159,,,,205.0,496.0,122.0,174.0,319.0,98.0
Tashkent,2571668.0,504.0,43297.9380794247,39.88,273.1893265565438,1.770740255965634,4301.531785847383,19.6732898766983,,,,32.56211484,0.0798160397988338,0.2634320560837844,,,468.0,553.0,136.0,612.0,861.0,842.0
Luanda,9051000.0,771.0,28988.3862472487,147.99,92.08356239692138,1.143102031091692,,,,,,,0.0,0.1731168791778549,,,853.0,820.0,434.0,967.0,106.0,917.0
Minsk,2009786.0,265.0,19531.6151648121,33.64,203.6688617121355,1.405531877387209,1035.917372318468,17.3819110281842,0.2,0.63,117.08,29.71162785,0.34528613189859,,,,544.0,857.0,592.0,299.0,547.0,863.0
Santiago,50635.0,720.0,16524.2847746605,51.97,161.5720524017467,,3930.95879474275,30.6968620659289,0.27,0.33,136.62,25.66448581,0.221672314287621,0.2379591756611015,0.0503074202647777,0.311815979330604,119.0,172.0,27.0,330.0,301.0,296.0
Abidjan,4980000.0,431.0,31319.1280288407,,66.22050017611835,1.001779123511103,73.29121791969769,,,,,,0.0,0.1197190920526984,0.0340255296128917,0.0156571929460962,791.0,526.0,585.0,955.0,578.0,798.0
Kinshasa,12836000.0,383.0,67024.4151108269,,38.39027643963536,1.007085552420461,,,,,,,0.0,0.1731110758171895,,,963.0,858.0,459.0,990.0,370.0,984.0
Santo Domingo,10759.0,515.0,18465.0753524898,53.35,,1.488900952728866,625.01454080921,7.32860520094562,,,,24.60501337,0.086701102217067,0.3987769365172021,,,382.0,275.0,498.0,646.0,86.0,472.0
Guayaquil,2723665.0,301.0,20018.605484153,49.83,96.76405906377632,2.259937301530103,1503.366609661595,11.2673280336377,,,,28.28933966,0.0853801363358648,0.4144399325367573,,,410.0,507.0,359.0,549.0,63.0,608.0
Athens,3041131.0,438.0,15539.0025146985,60.14,176.186158960411,0.8864738392864414,41968.89872129636,21.4054671148601,0.53,0.37,151.2,,0.276127128876911,0.9285631634377569,0.001186599033265,0.0464073114333811,297.0,502.0,169.0,322.0,236.0,348.0
